"filename", "language", "JavaScript", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"d:\code\Program\game_wechat\README.md", "Markdown", 0, 0, 0, 23, 0, 2, 25
"d:\code\Program\game_wechat\exercise\demo.html", "HTML", 0, 0, 11, 0, 0, 0, 11
"d:\code\Program\game_wechat\exercise\demo.js", "JavaScript", 75, 0, 0, 0, 13, 22, 110
"d:\code\Program\game_wechat\game.js", "JavaScript", 3, 0, 0, 0, 1, 1, 5
"d:\code\Program\game_wechat\game.json", "JSON", 0, 3, 0, 0, 0, 1, 4
"d:\code\Program\game_wechat\libs\three.js", "JavaScript", 27501, 0, 0, 0, 3346, 20195, 51042
"d:\code\Program\game_wechat\libs\weapp-adapter.js", "JavaScript", 1173, 0, 0, 0, 43, 378, 1594
"d:\code\Program\game_wechat\project.config.json", "JSON", 0, 54, 0, 0, 0, 0, 54
"d:\code\Program\game_wechat\src\game\controller.js", "JavaScript", 24, 0, 0, 0, 5, 6, 35
"d:\code\Program\game_wechat\src\game\game.js", "JavaScript", 8, 0, 0, 0, 1, 5, 14
"d:\code\Program\game_wechat\src\game\model.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"d:\code\Program\game_wechat\src\game\view.js", "JavaScript", 21, 0, 0, 0, 3, 7, 31
"d:\code\Program\game_wechat\src\main.js", "JavaScript", 10, 0, 0, 0, 0, 6, 16
"d:\code\Program\game_wechat\src\pages\game-over-page.js", "JavaScript", 11, 0, 0, 0, 0, 2, 13
"d:\code\Program\game_wechat\src\pages\game-page.js", "JavaScript", 11, 0, 0, 0, 0, 2, 13
"d:\code\Program\game_wechat\src\utils\event.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"Total", "-", 28837, 57, 11, 23, 3412, 20629, 52969